Name reduce-output-bytes shuffle-finish reduce-finish
task_200904102259_0008_r_000438 370231900 34 43
task_200904102259_0008_r_000439 370257300 34 44
task_200904102259_0008_r_000440 370556600 34 44
task_200904102259_0008_r_000441 369992100 34 49
task_200904102259_0008_r_000442 370598700 33 42
task_200904102259_0008_r_000443 370491800 34 43
task_200904102259_0008_r_000444 370310500 39 47
task_200904102259_0008_r_000445 369933500 35 44
task_200904102259_0008_r_000446 370399900 35 45
task_200904102259_0008_r_000447 370857400 35 44
task_200904102259_0008_r_000448 370319800 35 44
task_200904102259_0008_r_000449 370437500 39 46
task_200904102259_0008_r_000450 370484800 36 44
task_200904102259_0008_r_000451 370363700 35 43
task_200904102259_0008_r_000452 370244500 35 44
task_200904102259_0008_r_000453 370593300 39 48
task_200904102259_0008_r_000454 370401500 35 43
task_200904102259_0008_r_000455 370296600 35 44
task_200904102259_0008_r_000456 370432400 34 43
task_200904102259_0008_r_000457 370361300 36 45
task_200904102259_0008_r_000458 370207500 36 46
task_200904102259_0008_r_000459 370612500 35 44
task_200904102259_0008_r_000460 370143300 35 44
task_200904102259_0008_r_000461 370802500 34 42
task_200904102259_0008_r_000462 370469300 35 43
task_200904102259_0008_r_000463 370356000 34 43
task_200904102259_0008_r_000464 370095300 33 41
task_200904102259_0008_r_000465 370397400 35 44
task_200904102259_0008_r_000466 370256300 35 44
task_200904102259_0008_r_000467 370272400 38 46
task_200904102259_0008_r_000468 370361500 35 45
task_200904102259_0008_r_000469 370235200 32 40
task_200904102259_0008_r_000470 370288200 35 44
task_200904102259_0008_r_000471 370468500 35 45
task_200904102259_0008_r_000472 370379200 33 42
task_200904102259_0008_r_000473 370399900 35 43
task_200904102259_0008_r_000474 370569300 35 44
task_200904102259_0008_r_000475 370548000 37 45
task_200904102259_0008_r_000476 370314000 35 44
task_200904102259_0008_r_000477 370469300 34 42
task_200904102259_0008_r_000478 370516400 35 44
task_200904102259_0008_r_000479 370471300 35 43
task_200904102259_0008_r_000480 370411500 35 43
task_200904102259_0008_r_000481 370432300 35 44
task_200904102259_0008_r_000482 370346400 36 45
task_200904102259_0008_r_000483 370412300 38 47
task_200904102259_0008_r_000484 370469000 34 43
task_200904102259_0008_r_000485 370296100 34 42
task_200904102259_0008_r_000486 370179100 35 44
task_200904102259_0008_r_000487 370605200 35 47
task_200904102259_0008_r_000488 370420100 34 44
task_200904102259_0008_r_000489 370071100 33 42
task_200904102259_0008_r_000490 370687000 34 44
task_200904102259_0008_r_000491 370579900 35 44
task_200904102259_0008_r_000492 370218900 34 44
task_200904102259_0008_r_000493 370688900 33 41
task_200904102259_0008_r_000494 370559600 33 44
task_200904102259_0008_r_000495 370453700 34 44
task_200904102259_0008_r_000496 370271200 33 44
task_200904102259_0008_r_000497 370268100 34 43
task_200904102259_0008_r_000498 370509600 33 43
task_200904102259_0008_r_000499 370373600 33 43
task_200904102259_0008_r_000500 370524900 35 44
task_200904102259_0008_r_000501 370235200 34 43
task_200904102259_0008_r_000502 370220000 33 42
